#,"generated_by='OpenQuake engine 3.14.0-git5339fcb', start_date='2022-04-20T04:32:43', checksum=261711489, investigation_time=1.0, mag_bin_edges=[5.0, 5.25, 5.5, 5.75, 6.0, 6.25, 6.5, 6.75, 7.0, 7.25, 7.5, 7.75, 8.0, 8.25, 8.5, 8.75, 9.0, 9.25, 9.5, 9.75], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0], lon_bin_edges=[169.98950479489085, 170.25547675073022, 170.52144870656963, 170.78742066240903, 171.05339261824844, 171.3193645740878, 171.58533652992722, 171.85130848576662, 172.11728044160603, 172.3832523974454, 172.6492243532848, 172.9151963091242, 173.18116826496362, 173.447140220803, 173.7131121766424, 173.9790841324818, 174.2450560883212, 174.51102804416058, 174.777, 175.0429719558394, 175.3089439116788, 175.57491586751817, 175.84088782335758, 176.10685977919698, 176.37283173503639, 176.63880369087576, 176.90477564671517, 177.17074760255457, 177.43671955839397, 177.70269151423335, 177.96866347007276, 178.23463542591216, 178.50060738175156, 178.76657933759094, 179.03255129343034, 179.29852324926975, 179.56449520510915], lat_bin_edges=[-44.88628, -44.68643111111111, -44.486582222222225, -44.28673333333334, -44.08688444444444, -43.887035555555556, -43.68718666666667, -43.48733777777778, -43.28748888888889, -43.08764, -42.88779111111111, -42.687942222222226, -42.48809333333333, -42.288244444444445, -42.08839555555556, -41.88854666666667, -41.688697777777776, -41.48884888888889, -41.289, -41.089151111111114, -40.88930222222222, -40.68945333333333, -40.489604444444446, -40.28975555555556, -40.089906666666664, -39.89005777777778, -39.69020888888889, -39.49036, -39.29051111111111, -39.09066222222222, -38.890813333333334, -38.69096444444445, -38.49111555555555, -38.291266666666665, -38.09141777777778, -37.89156888888889, -37.69172], eps_bin_edges=[-4.0, -2.0, 0.0, 2.0, 4.0], tectonic_region_types=['Active Shallow Crust', 'Subduction Interface', 'Subduction Intraslab'], rlz_ids=[26], weights=[1.0], lon=174.777, lat=-41.289",,,,
imt,poe,mag,dist,eps,rlz26
PGA,0.002105,5.125,5,-3,0
PGA,0.002105,5.125,5,-1,0
PGA,0.002105,5.125,5,1,0
PGA,0.002105,5.125,5,3,8.36034E-07
PGA,0.002105,5.125,15,-3,0
PGA,0.002105,5.125,15,-1,0
PGA,0.002105,5.125,15,1,0
PGA,0.002105,5.125,15,3,2.62653E-06
PGA,0.002105,5.125,25,-3,1
PGA,0.002105,5.125,25,-1,1
PGA,0.002105,5.125,25,1,1
PGA,0.002105,5.125,25,3,1
PGA,0.002105,5.125,35,-3,1
PGA,0.002105,5.125,35,-1,1
PGA,0.002105,5.125,35,1,1
PGA,0.002105,5.125,35,3,1
PGA,0.002105,5.125,45,-3,1
PGA,0.002105,5.125,45,-1,1
PGA,0.002105,5.125,45,1,1
PGA,0.002105,5.125,45,3,1
PGA,0.002105,5.125,55,-3,1
PGA,0.002105,5.125,55,-1,1
PGA,0.002105,5.125,55,1,1
PGA,0.002105,5.125,55,3,1
PGA,0.002105,5.125,65,-3,1
PGA,0.002105,5.125,65,-1,1
PGA,0.002105,5.125,65,1,1
PGA,0.002105,5.125,65,3,1
PGA,0.002105,5.125,75,-3,1
PGA,0.002105,5.125,75,-1,1
PGA,0.002105,5.125,75,1,1
PGA,0.002105,5.125,75,3,1
PGA,0.002105,5.125,85,-3,1
PGA,0.002105,5.125,85,-1,1
PGA,0.002105,5.125,85,1,1
PGA,0.002105,5.125,85,3,1
PGA,0.002105,5.125,95,-3,1
PGA,0.002105,5.125,95,-1,1
PGA,0.002105,5.125,95,1,1
PGA,0.002105,5.125,95,3,1
PGA,0.002105,5.125,105,-3,1
PGA,0.002105,5.125,105,-1,1
PGA,0.002105,5.125,105,1,1
PGA,0.002105,5.125,105,3,1
PGA,0.002105,5.125,115,-3,1
PGA,0.002105,5.125,115,-1,1
PGA,0.002105,5.125,115,1,1
PGA,0.002105,5.125,115,3,1
PGA,0.002105,5.125,125,-3,1
PGA,0.002105,5.125,125,-1,1
PGA,0.002105,5.125,125,1,1
PGA,0.002105,5.125,125,3,1
PGA,0.002105,5.125,135,-3,1
PGA,0.002105,5.125,135,-1,1
PGA,0.002105,5.125,135,1,1
PGA,0.002105,5.125,135,3,1
PGA,0.002105,5.125,145,-3,1
PGA,0.002105,5.125,145,-1,1
PGA,0.002105,5.125,145,1,1
PGA,0.002105,5.125,145,3,1
